Tweets_text,User_name,Source
 NowPlaying on Kendrick Lamar   Poetic Justice on Inner G Radio     live  newmusic  spotify   ,innergradio,"<a href=""https://radio.co"" rel=""nofollow"">Radio.co now playing</a>"
   this contradicts your propagandist tweets  Do you even read your feed ,centeringpendu1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Editorial bias on show  When CNN airs segments beneficial to Joe Biden  they have started often removing the purple  doom and ,rod_lou_bhz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Herridge   COVID19 Acting Defense Secretary Christopher Miller tells   he took the COVID vaccine publicly to  lead by exampl ,redpill53,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
The man behind me on this flight  DIED  OF COVID  MIDFLIGHT    I have so many questions ,TheRisingUnited,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Ohh how bout that,ugotmebaby2003,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
When applesauce tests positive for COVID  you know it s BS    ,Screwface1717,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Bulls waive Noah Vonleh after big man tests positive for COVID 19  ,newseros_live,"<a href=""https://newseros.live"" rel=""nofollow"">Newseros</a>"
Sweden s two year mortality rate in 2019 2020 is one of the lowest in the last 10 years   I even overestimated 2020 deaths b ,wisitwippl,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
Not at all surprised to hear about Joel Osteen taking  4 4 Millon of our PPP Covid relief loan money  Not even a Hurric ,Hollaka_Hollala,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Boston health care workers dancing on the sidewalk to celebrate the arrival of the first  covid 19 vaccine    ,FooheyMike,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
We re not guinea pigs   say some of France s nursing home residents wary of a COVID 19 vaccine   https  ,JimLHorn1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
    pound a few monsters and smoke some herb and you re guaranteed to be covid free   ,OldManWhoBets,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Applesauce tests positive for COVID 19    ,TruthfulBadger,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
My family has COVID  amp  the health authority told my mom that if her lips turn blue to go to the hospital  She s Black  Her ,educp99,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
My radio show is  in fact  the antidote to conspiracy theories pushed by the Mockingbird Media    Russia   PCR tests relia ,Rip52622755,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
  Most of my friends and I got Covid  It s literally the flu with milder symptoms ,4estTweets,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
What s this trend of change your profile picture of you in a mask  How much of a mindless faceless  idiot do you ha   ,sgcouri,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
There s countries that has eradicated COVID and UK is still here battling it like it came last week,kathtwemlowxxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Hey not many friends on here   but wanted to say bye   I can t beat this Covid ,teddysimpson23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
DR  MARC MCLELLAND  a pulmonologist at Butterworth Hospital in Grand Rapids  Michigan  has received his COVID vaccine  ,RachoftheGalaxy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
                                                    The   Teddy Toss evolved into that                  to   ,NLGrowlers,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Twitter is a free website where you get to see someone accusingly ask  Have you ever looked at ivermectin  of a man wh ,MikeHollister5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
What s the secret behind NSW s Covid Contact Tracing  Find out by watching this sketch i wrote with   for the   ,rojoh1,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>"
PS5  Why Single Player Games Are Integral to Sony s Next Gen Console   Beyond Episode 678    RESTOCKS    SEE MORE H   ,bitcoinconnect,"<a href=""http://www.akidthaine.com"" rel=""nofollow"">Clickclickme</a>"
Long before Covid  filming WW84 for endless hours  Kristen  amp  I finally lost it   yet found each other    In case you missed i ,Valiuz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Follow me back on Instagram   my Username is   weinberg 965  ,Mweinberg22q,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
ECW Reveals He Was Diagnosed With COVID 19  Talks New Character    ec3,Soriano310ms,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
This is the biggest shit show on earth   Thank s for contributing to the fall of the Republic  Christopher Miller    I will gu ,RoadToDystopia,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
Pelosi has never had to live like us out here ,Paulagg1960,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
  I choose a flight packed with COVID positive anti maskers   ,SmagSeu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
I ve been highly critical of the government generally on COVID 19  but it means a lot to people to see their families at Chr ,rightwingtrews,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Excellent thread on excess deaths  For those under 45  they will die more from other causes than covid,LakesFirearmsTr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
By winning two Senate seats  Georgia will       Remove two crooks from office   Strip Mitch McConnell of the title of Majori ,lovabelow98,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
If you think Covid treatment should be free  of course it should   why do you think insulin shouldn t be  Or cancer treatment  ,queeniepng,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
    Those are facts   Around 75  of covid admissions are actually people who tested positive f   ,JogaBonito888,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
  lewammg It ll be the official fact check twitter account that ll be like  there needs to be clarity as it pertain   ,tsionamaree,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
I thought the hospitals were overcrowded with Covid patients  They have time to go outside and choreograph ,ClarkKentwars,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Wisconsin Supreme Court rules state erred by giving blanket exemption to voter ID rules during COVID   Just The News h ,TruthWins4ever,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
There are many symptoms of CoNvid   I don t believe any of them accurately reflect the presence of CoNvid except on   ,TheCoronaCure_,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Michigan s game vs  Iowa canceled due to COVID 19 case uptick      ,LucyAnnLance,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
I just rewatched my Levanter fansign videos and I m so sad again      I can t believe it s almost been a year since   ,parseale,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
This is gold class ,BernMcCartney,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Proud of the relationship that   has with  TwinCitiesRoadCrew  amp  their can do attitude  They took new  innovative ap ,mncorn,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
Today s update on the numbers   Total COVID hospitalizations are at 5 982   Of the 194 188 tests reported yesterday  10 353 ,DonaldMccalment,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
96  We re back to this bullshit again   Punk bitches,A_Non_E_Mus,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
Today  Governor   and I spoke about combatting COVID 19  including vaccine distribution and the strain rising ca ,TrumpWatchNews,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Women were disproportionally affected by HiV and remain most vulnerable and disadvantaged  They are also caregivers in comm ,AfricanGbv,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
    This is so ridiculous  I get furious every time that I re read this post   LIVES ARE ON THE LINE   ,larabond1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Being from the city this man resides in angers my soul     During hurricane Harvey he LIED to houstonians who sought r ,TJBirchok,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Still waiting for an answer to these important questions  Here is a link to help you out a little    ,MarkFriesen08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Benefit of hindsight   We didnt know   No one warned us   Nows not the time ,sioneill10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
This listen   An entire episode on what the COVID19 death toll numbers don t capture  the fact that auntie was the   ,NotoriousECG,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
so how can one take what is said as the best information if we do not know where the readings came from,laurencernoon,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Hang in there  Your friends may not be many on here  but we care ,12mandown,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Will DeSantis ever be prosecuted for  NegligentHomicide   ,MadCyclistNYC,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Global South countries  led by South Africa and India  have requested a suspension of the WTO s patent rules to enable the ,Simon_Cox,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
The COVID 19 pandemic has led to a crisis for international students and Australia s public universities  writes   ,melbasiareview,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Are private schools exempt from emergency covid legislation  If so  why  Or is it just Eton  Again  if so  why ,steviepattisond,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
gt   on the state of Covid deal talks   How did we go from  3 4T down to  188B of new money in a moment when the ,DalyPolitics,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
A very Korean announcement at the post office   No more overseas Kimchi shipments accepted  Covid caused delays in internation ,viktor_haag,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
63  S o to   for giving UC students just 100 of the 1500 total tickets for Saturday   Wouldn t want the people wh ,Sydney_bev,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
O Guy  99 2   Thats the survival rate of people who test positive for covid    Excluding asymptomatic people   99 2    EnoughIsEno ,Waternixie9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
In the mood to draw but I also have a really annoying headache  Drop some ideas below though  I have a lot of free   ,AnoukkShikari,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Zero doubt that when next election comes around  partisan CPC defenders will forgive all of this  They ll also forgive h ,6ra93,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
NBA on ESPN   And up next  we got a good one for you as the COVID vaccine looks to save the season for humans here i ,Dustin_Supreme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Border measures  financial insecurity  amp  increased demand for domestic work during  COVID19 has impacted domestic  h   ,pandemics_brdrs,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Biden s Presidential inaugural committee is urging the public not to travel to Washington D C  f ,michelle_sjd,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
They pay  0 in taxes  Also might I remind everyone when he refused to open his doors to people during Harvey and rather them ,curtisandrevvs,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
When they go 6 9 on 4th downs gt  gt  gt  gt  gt  gt  gt ,J_4short,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
CytoDyn Completes Enrollment for Phase 3 Registrational Trial for 390 Patients with Severe to Critical COVID 19    Cyt ,ThipL12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Republicans have set a firm cap on more covid relief at  1 trillion  As such  they ve framed this as a choice between che ,GaryBrase,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
      Making the iceman blush   Someday perhaps when covid ends u can give me a tour   Love to see the magic in action ,Ernieiceman,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
  You will get a lot of shit for this  People need to understand sometimes people can mess up and do the   ,EESprite,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
No matter the age  no matter where they re from  each person had people who loved them  Each of them had a soul  We can t ge ,lkay54,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
Covid   Children put at risk by health inequalities   ,BBCScienceNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>"
COVID 19 chosen as Canadian Press news story of the year for 2020    ,elishahosein1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
She Is The TRASH Bag  Manchuriancandidate,RobertStrunk23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
If it hadn t been for Covid  I might be  at this very moment  whining about security lines at Orlando International Airport ,SeekerWillie,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Noorollah  Breaking   WI Supreme Court Rules  State Did Not Have Authority to Abandon Voter ID Rules Due to COVID,CaliBannd,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
